,dbscan_count,dbscan_noise,dbscan_silouette_score,image_name,eps,min_samples,dbscan_BIC_score
0,2,29,-0.292805927634189,EGI04-1_141.jpg,0.01,3,
1,0,36,,EGI04-1_141.jpg,0.01,5,
2,0,36,,EGI04-1_141.jpg,0.01,8,
3,0,36,,EGI04-1_141.jpg,0.01,10,
4,3,8,0.4840467523821173,EGI04-1_141.jpg,0.05,3,
5,2,11,0.539701353857225,EGI04-1_141.jpg,0.05,5,
6,1,18,,EGI04-1_141.jpg,0.05,8,
7,1,19,,EGI04-1_141.jpg,0.05,10,
8,2,5,0.905295777641296,EGI04-1_141.jpg,0.1,3,
9,2,5,0.905295777641296,EGI04-1_141.jpg,0.1,5,
10,2,7,0.7684800000653056,EGI04-1_141.jpg,0.1,8,
11,1,15,,EGI04-1_141.jpg,0.1,10,
12,3,2,0.8865768107843717,EGI04-1_141.jpg,0.2,3,
13,2,5,0.905295777641296,EGI04-1_141.jpg,0.2,5,
14,2,5,0.905295777641296,EGI04-1_141.jpg,0.2,8,
15,1,13,,EGI04-1_141.jpg,0.2,10,
16,3,2,0.8865768107843717,EGI04-1_141.jpg,0.3,3,
17,2,5,0.905295777641296,EGI04-1_141.jpg,0.3,5,
18,2,5,0.905295777641296,EGI04-1_141.jpg,0.3,8,
19,1,13,,EGI04-1_141.jpg,0.3,10,
20,3,2,0.8865768107843717,EGI04-1_141.jpg,0.4,3,
21,2,5,0.905295777641296,EGI04-1_141.jpg,0.4,5,
22,2,5,0.905295777641296,EGI04-1_141.jpg,0.4,8,
23,1,13,,EGI04-1_141.jpg,0.4,10,
24,3,2,0.8865768107843717,EGI04-1_141.jpg,0.5,3,
25,2,5,0.905295777641296,EGI04-1_141.jpg,0.5,5,
26,2,5,0.905295777641296,EGI04-1_141.jpg,0.5,8,
27,1,13,,EGI04-1_141.jpg,0.5,10,
0,0,12,,EGI08-2_78.jpg,0.01,3,
1,0,12,,EGI08-2_78.jpg,0.01,5,
2,0,12,,EGI08-2_78.jpg,0.01,8,
3,0,12,,EGI08-2_78.jpg,0.01,10,
4,0,12,,EGI08-2_78.jpg,0.05,3,
5,0,12,,EGI08-2_78.jpg,0.05,5,
6,0,12,,EGI08-2_78.jpg,0.05,8,
7,0,12,,EGI08-2_78.jpg,0.05,10,
8,0,12,,EGI08-2_78.jpg,0.1,3,
9,0,12,,EGI08-2_78.jpg,0.1,5,
10,0,12,,EGI08-2_78.jpg,0.1,8,
11,0,12,,EGI08-2_78.jpg,0.1,10,
12,0,12,,EGI08-2_78.jpg,0.2,3,
13,0,12,,EGI08-2_78.jpg,0.2,5,
14,0,12,,EGI08-2_78.jpg,0.2,8,
15,0,12,,EGI08-2_78.jpg,0.2,10,
16,1,9,,EGI08-2_78.jpg,0.3,3,
17,0,12,,EGI08-2_78.jpg,0.3,5,
18,0,12,,EGI08-2_78.jpg,0.3,8,
19,0,12,,EGI08-2_78.jpg,0.3,10,
20,1,8,,EGI08-2_78.jpg,0.4,3,
21,0,12,,EGI08-2_78.jpg,0.4,5,
22,0,12,,EGI08-2_78.jpg,0.4,8,
23,0,12,,EGI08-2_78.jpg,0.4,10,
24,1,6,,EGI08-2_78.jpg,0.5,3,
25,0,12,,EGI08-2_78.jpg,0.5,5,
26,0,12,,EGI08-2_78.jpg,0.5,8,
27,0,12,,EGI08-2_78.jpg,0.5,10,
0,0,12,,EPS01_28.jpg,0.01,3,
1,0,12,,EPS01_28.jpg,0.01,5,
2,0,12,,EPS01_28.jpg,0.01,8,
